city,year,AQI value
San Francisco,2020,54.41803279
Seattle(Washington),2010,45.14794521
Seattle(Washington),2011,50.05479452
Seattle(Washington),2012,49.69945355
Seattle(Washington),2013,54.05205479
Seattle(Washington),2014,51.35068493
Seattle(Washington),2015,54.48219178
Seattle(Washington),2016,46.06010929
Seattle(Washington),2017,56.76438356
Seattle(Washington),2018,52.9260274
Seattle(Washington),2019,48.72328767
Seattle(Washington),2020,50.3579235
Topeka(Kansas),2010,42.12328767
Topeka(Kansas),2011,46.07945205
Topeka(Kansas),2012,48.45081967
Topeka(Kansas),2013,39.73972603
Topeka(Kansas),2014,39.16438356
Topeka(Kansas),2015,37.69863014
Topeka(Kansas),2016,37.6010929
Topeka(Kansas),2017,40.7369863
Topeka(Kansas),2018,43.39726027
Topeka(Kansas),2019,42.2109589
Topeka(Kansas),2020,41.78947368
