city,year,GDP
Seattle(Washington),2019,419475.451
Seattle(Washington),2020,426939.963
Topeka(Kansas),2010,9582.009
Topeka(Kansas),2011,9950.025
Topeka(Kansas),2012,10062.807
Topeka(Kansas),2013,9805.047
Topeka(Kansas),2014,10032.585
Topeka(Kansas),2015,10122.478
Topeka(Kansas),2016,10327.657
Topeka(Kansas),2017,10395.88
Topeka(Kansas),2018,10797.727
Topeka(Kansas),2019,10575.421
Topeka(Kansas),2020,10566.441
